지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Jun-83,22.2,27.9,32.6,1983-06-19,17.4,13.4,1983-06-07
108,서울,Jul-83,23.6,26.8,30.9,1983-07-31,21,18.4,1983-07-06
108,서울,Aug-83,26,30,34.3,1983-08-05,22.9,17.8,1983-08-24
108,서울,Sep-83,22,26.1,31.5,1983-09-01,18.5,11.9,1983-09-30
108,서울,Oct-83,14.2,18.7,23.7,1983-10-01,10.1,2,1983-10-25
108,서울,Nov-83,6.7,11.2,18.5,1983-11-02,2.5,-6,1983-11-17
108,서울,Dec-83,-1.1,2.9,11.7,1983-12-10,-5.2,-13.5,1983-12-25
108,서울,Jan-84,-5.9,-1.7,4.1,1984-01-09,-9.5,-13.6,1984-01-27
108,서울,Feb-84,-3.5,1.3,8,1984-02-21,-7.3,-15.1,1984-02-06
108,서울,Mar-84,2.5,7.3,14.2,1984-03-29,-1.3,-6.5,1984-03-04
108,서울,Apr-84,12.1,17.9,23,1984-04-24,7.4,0.1,1984-04-06
108,서울,May-84,18.2,24,28.1,1984-05-20,13.5,7.7,1984-05-02
108,서울,Jun-84,22.6,27.7,34.2,1984-06-13,18.4,14.7,1984-06-10
108,서울,Jul-84,25.2,29.5,34.7,1984-07-31,22,19.2,1984-07-17
108,서울,Aug-84,26.3,30.5,35.2,1984-08-10,23.3,18.9,1984-08-17
108,서울,Sep-84,20.1,25,28.7,1984-09-07,16.3,10.1,1984-09-26
108,서울,Oct-84,13.8,19.5,25.7,1984-10-11,9,1.2,1984-10-21
108,서울,Nov-84,8.1,12.9,21.2,1984-11-06,4.1,-5.7,1984-11-28
108,서울,Dec-84,-0.9,3.5,14.5,1984-12-09,-4.2,-12.8,1984-12-29
108,서울,Jan-85,-5.9,-1.2,3.5,1985-01-03,-9.8,-16.7,1985-01-14
108,서울,Feb-85,-0.3,4.2,10.8,1985-02-28,-3.9,-11,1985-02-24
108,서울,Mar-85,4.3,9.5,19,1985-03-24,0.4,-8.2,1985-03-10
108,서울,Apr-85,11.6,17.8,24.8,1985-04-30,6.5,0,1985-04-01
108,서울,May-85,18.1,23.6,29.6,1985-05-16,13.3,9,1985-05-08
108,서울,Jun-85,22.1,27.3,31.9,1985-06-26,18,14.2,1985-06-03
108,서울,Jul-85,25.3,29.2,35.4,1985-07-29,22.1,18.7,1985-07-19
108,서울,Aug-85,26.3,30.4,34.3,1985-08-08,23.1,18.5,1985-08-11
108,서울,Sep-85,20.2,23.9,30.1,1985-09-01,17.3,10.1,1985-09-30
108,서울,Oct-85,14.7,19.6,25.7,1985-10-11,10.5,4.4,1985-10-21
108,서울,Nov-85,5.6,9.5,18.8,1985-11-07,2.1,-4.6,1985-11-29
108,서울,Dec-85,-3.4,0.4,8.2,1985-12-28,-6.9,-13.6,1985-12-10
108,서울,Jan-86,-5.4,-1.4,7.1,1986-01-18,-8.9,-19.2,1986-01-05
108,서울,Feb-86,-3.3,0.7,5.2,1986-02-16,-6.9,-12.7,1986-02-04
108,서울,Mar-86,4.9,10.2,18.6,1986-03-28,0.7,-5.4,1986-03-02
108,서울,Apr-86,11.9,17.8,24.3,1986-04-19,6.8,1.6,1986-04-07
108,서울,May-86,17.1,22.5,27.5,1986-05-30,12.4,8.5,1986-05-02
108,서울,Jun-86,21.9,26.3,32.4,1986-06-11,18.2,13.8,1986-06-07
108,서울,Jul-86,23.5,27,31.7,1986-07-31,20.5,15.4,1986-07-03
